Country Name,Current health expenditure per capita (current US$)
Philippines,132.900985717773
Poland,906.820129394531
Portugal,1908.03393554688
Post-demographic dividend,5550.62460893834
Pre-demographic dividend,65.896891395763
Puerto Rico,..
Qatar,1649.18615722656
Romania,555.104736328125
Russian Federation,585.873229980469
Rwanda,49.2044563293457
Samoa,233.065063476563
San Marino,3361.64477539063
Sao Tome and Principe,119.695655822754
Saudi Arabia,1093.40551757813
Senegal,55.0140380859375
Serbia,528.545166015625
Seychelles,791.656677246094
Sierra Leone,66.4021835327148
Singapore,2618.71240234375
Sint Maarten (Dutch part),..
Slovak Republic,1186.13635253906
Slovenia,1920.28186035156
Small states,602.038208133858
Solomon Islands,101.239868164063
Somalia,..
South Africa,499.237548828125
South Asia,64.4653930414567
South Asia (IDA & IBRD),64.4653930414567
South Sudan,22.8885726928711
Spain,2506.46484375
Sri Lanka,159.484741210938
St. Kitts and Nevis,902.658996582031
St. Lucia,460.068817138672
St. Martin (French part),..
St. Vincent and the Grenadines,320.593292236328
Sub-Saharan Africa,83.7588180080558
Sub-Saharan Africa (IDA & IBRD countries),83.7588180080558
Sub-Saharan Africa (excluding high income),83.0623281282646
Sudan,193.793045043945
Suriname,339.327972412109
Sweden,5904.583984375
Switzerland,9956.259765625
Syrian Arab Republic,..
Tajikistan,57.8998527526855
Tanzania,33.916576385498
Thailand,247.035110473633
Timor-Leste,83.1977081298828
Togo,38.048713684082
Tonga,222.015487670898
Trinidad and Tobago,1124.09167480469
Tunisia,250.562225341797
Turkey,444.653686523438
Turkmenistan,456.482666015625
Turks and Caicos Islands,..
Tuvalu,622.176696777344
Uganda,38.426441192627
Ukraine,177.408889770508
United Arab Emirates,1357.01745605469
United Kingdom,3858.67431640625
United States,10246.138671875
Upper middle income,459.918042262602
Uruguay,1591.533203125
Uzbekistan,98.824577331543
Vanuatu,105.666526794434
"Venezuela, RB",94.229377746582
Vietnam,129.575958251953
Virgin Islands (U.S.),..
West Bank and Gaza,..
World,1061.14674489701
"Yemen, Rep.",..
Zambia,67.6486663818359
Zimbabwe,110.149620056152
